datetime,consumption
0,450321936.13544935
1,404070476.4477123
2,403451205.41958994
3,412949974.66775626
4,416039722.7082014
5,410985179.6786201
6,415788436.1138814
7,412039218.82344633
8,397206286.24736136
9,438951956.3693953
10,442719516.13800025
11,416101797.0298733
12,418274984.69829947
13,419352473.3751257
14,392633352.48798525
15,417250446.8098414
16,423011687.43637973
17,421268870.86686045
18,435987339.60703754
19,434446093.6637702
20,437249186.17751515
21,448206648.00784004
22,449657144.21033686
23,437316533.7534139
