datetime,consumption
1,287326835.0254594
2,283662166.9592011
3,280582940.64032835
4,269213674.44904596
5,262517227.96885827
6,336516548.6168549
7,331222170.6484534
8,320497553.03775066
9,344237314.54340696
10,365818176.75199664
11,369339736.4332394
12,329186755.7835097
13,339065143.96936977
14,331043817.18762773
15,367201048.6325372
16,369777121.3026882
17,376185323.8434839
18,378927251.17836267
19,392041067.1918942
20,377723938.73801816
21,359302559.88237244
22,336905604.0445769
23,386396364.85319924
24,390308683.0444394
25,332331122.93212026
26,315250555.0593861
27,311421745.6968147
28,311157987.2280832
29,254343815.81642514
30,255931698.42671475
31,189844516.9874744
