datetime,consumption
0,7319634.567503036
1,1472137.2281812548
2,1703454.5793036867
3,1094502.1764131815
4,1137100.4364875343
5,1169648.3835484984
6,1092932.0281656815
7,1075063.998385588
8,1078851.5663216778
9,1115055.9361000767
10,18321528.660439305
11,12306643.50809898
12,12016875.926459717
13,16483216.549826985
14,507814.5364075852
15,12349913.881081274
16,12666676.446619108
17,13229477.925474362
18,12809416.232481606
19,4715859.497171433
20,11300321.041870601
21,8611346.549630255
22,7289140.927256789
23,1754312.9556702012
