datetime,consumption
1,3264315.5942852497
2,5014860.051575747
3,4903914.34479235
4,5423478.063303415
5,5897731.141666609
6,6047947.469203232
7,5324097.994760552
8,6280285.585979206
9,5449826.449867633
10,5300288.455089126
11,5806963.18998934
12,5859663.560539638
13,5760555.428168564
14,4992407.592563633
15,5426843.078501033
16,5703673.890574528
17,5656148.652144744
18,5442342.186799236
19,6104736.7902670475
20,6420166.346886204
21,4936985.896393136
22,4893533.560605095
23,6189939.308434088
24,4851702.534630628
25,4283079.480861208
26,5343683.974446741
27,5120827.09999635
28,4609297.534536294
29,4366168.574209178
30,4863670.597803938
31,3081791.1100246785
