datetime,consumption
0,1053430.6836617098
1,227094.18501652128
2,244896.84586999583
3,149160.24606694275
4,176194.23795701802
5,183518.3010447674
6,165902.9018697333
7,172210.24035133267
8,176122.22268424465
9,185841.46393309926
10,3406682.0963586695
11,2366617.1322231474
12,2278075.4574199775
13,2928466.120135071
14,77672.37590005306
15,2212372.332902814
16,2285762.3876552433
17,2385969.780950181
18,2268858.4075919907
19,757742.6991169585
20,2171893.5735585606
21,1870573.3700852562
22,1534520.617641964
23,288807.2582691301
24,1119309.9133914218
25,259882.15710102193
26,282689.83052544517
27,181176.21653599018
28,183854.28558312586
29,190951.88349979496
30,171765.15214092366
31,193129.18691640167
32,182654.0899735359
33,199968.77178189208
34,3272755.5382323936
35,2023574.4275415754
36,1999121.6501636144
37,2709116.337757297
38,66675.61155276057
39,2155710.9969184413
40,2267863.504897192
41,2263017.3900911743
42,2289475.5100471666
43,768380.1497990248
44,1958200.6076852276
45,1688349.589656631
46,1444842.0062886956
47,278572.2198039111
48,1147678.4094981668
49,271207.86834033194
50,303053.1646241357
51,198272.13017643
52,169018.33961144957
53,167769.26761242127
54,175672.3652226345
55,154971.43919589408
56,164323.05770096762
57,155559.43965479094
58,1476187.0133901138
59,851161.9455539087
60,965547.7276785318
61,1412034.5177398128
62,76788.96494232431
63,894721.0083380833
64,1017098.277738654
65,1180350.8460537114
66,955809.80692684
67,217322.00992943623
68,677243.1566347927
69,218498.3133693034
70,191692.65310266658
71,190039.41013353545
72,948812.7439556548
73,158704.45712452888
74,173052.78765208868
75,128841.62178367996
76,153798.4466502629
77,158812.8114128705
78,153701.24325982874
79,122347.53839446488
80,122508.21500650255
81,123698.6493935935
82,595621.3274868616
83,458681.5946731212
84,462423.3168459013
85,665557.7370745135
86,66675.61155276057
87,395755.4591777308
88,381581.52775026695
89,422841.20784904
90,335062.54680017265
91,144472.02412413727
92,640076.0982708704
93,160261.09049555706
94,173267.22931394805
95,141369.47894821767
96,828226.4367869147
97,56480.49260678296
98,91450.69700991527
99,107671.5402401942
100,125670.98517643682
101,126537.16075690882
102,121324.32940878632
103,125561.50676714286
104,125992.31735727354
105,128106.67833008604
106,3142131.4957642043
107,2335463.71399577
108,2147012.2090335023
109,3011711.5942552346
110,74019.69779109169
111,2358207.4551428435
112,2278216.321433294
113,2373972.773109947
114,2322561.4255932486
115,851660.8914162854
116,2185991.260249065
117,1777386.804182033
118,1551489.9787436991
119,262200.2994585191
120,1060416.3639035146
121,224517.0479889955
122,277372.92947559414
123,152870.06369604706
124,152089.9230822206
125,154177.76159606676
126,148533.11241671024
127,143987.74052755683
128,148785.26294865494
129,147817.46013901688
130,3175590.9915545913
131,2157706.5098206615
132,2116015.254964319
133,2921142.861525259
134,73388.95551432115
135,2249334.0647804565
136,2155138.5528689837
137,2304335.903928018
138,2292541.8492492633
139,866594.198618447
140,2145504.098409726
141,1829019.3278208612
142,1507790.059318457
143,287116.23986736574
144,1161760.016305654
145,274251.02000307234
146,330938.3241465119
147,176510.35791389731
148,176474.21842702065
149,187881.19762566863
150,156032.92384706484
151,162856.34623279507
152,158466.40065049854
153,174063.47286759785
154,3252560.197652471
155,2113438.184290795
156,2048680.3103538712
157,2835187.3813397978
158,72593.31915427385
159,2083812.5638209044
160,2281015.874275475
161,2298990.023492291
162,2345106.6862729243
163,1109687.5241671437
164,1521412.2470623588
165,1067258.0540206123
166,885538.3828473588
167,306208.04918952205
