datetime,consumption
0,57410584.624597654
1,57410584.624597654
2,57666666.66666667
3,57666666.66666667
4,57666666.66666667
5,57666666.66666667
6,57666666.66666667
7,57666666.66666667
8,57666666.66666667
9,57666666.66666667
10,57666666.66666667
11,57666666.66666667
12,57666666.66666667
13,57666666.66666667
14,57666666.66666667
15,57666666.66666667
16,57666666.66666667
17,57666666.66666667
18,57666666.66666667
19,57666666.66666667
20,57666666.66666667
21,57666666.66666667
22,57666666.66666667
23,57666666.66666667
