datetime,consumption
1,89865633.28093421
2,90890258.25286324
3,90890258.25286324
4,90890258.25286324
5,90890258.25286324
6,90890258.25286324
7,90890258.25286324
8,90890258.25286324
9,90890258.25286324
10,90890258.25286324
11,90890258.25286324
12,90890258.25286324
13,90890258.25286324
14,90890258.25286324
15,99545995.95778129
16,91677143.49876489
17,90890258.25286324
18,90890258.25286324
19,90890258.25286324
20,90890258.25286324
21,90890258.25286324
22,90890258.25286324
23,90890258.25286324
24,90890258.25286324
25,90890258.25286324
26,90890258.25286324
27,90890258.25286324
28,90890258.25286324
29,78594758.58971481
30,78594758.58971481
31,57740628.78958006
