datetime,consumption
0,90990.33331964603
1,84337.49750672586
2,84575.2261599403
3,80686.02212256352
4,80680.80759750423
5,83316.27865299913
6,90936.51888820747
7,107447.37833645222
8,134119.09333459774
9,148125.38647359167
10,165869.96376556403
11,183679.44064605367
12,365996.89711931074
13,378241.45299636654
14,389825.01083449804
15,389134.5674556379
16,389382.55628482124
17,389430.71963669197
18,363976.873283459
19,342167.21134087344
20,328101.30322311254
21,315858.18562684656
22,299795.29702623433
23,288746.6283372548
