datetime,consumption
1,172958.94707521182
2,176752.3111146096
3,168449.22691152472
4,162025.11274509702
5,160370.40620068376
6,165742.70419980437
7,173345.60282186003
8,175041.1918985367
9,181736.7476312835
10,188735.4688430475
11,177091.90597770616
12,179270.24372011144
13,175854.12882023127
14,186071.15031776435
15,192686.72122803298
16,188734.28879510897
17,205182.2788832547
18,207665.175789607
19,197156.6063286002
20,192366.2097852923
21,182175.14080225854
22,173803.15509725243
23,178203.53721203492
24,183661.57453370414
25,183500.97107149506
26,197103.10905213346
27,193666.20471886857
28,202479.26226149674
29,181430.42080572143
30,159050.77187814916
31,113110.07344847001
