datetime,consumption
0,15324.68672747565
1,14019.740071749742
2,14016.536412022075
3,11469.560671204528
4,11468.960728296024
5,11470.215335406607
6,14009.907085293635
7,16551.2493879168
8,22895.6469803057
9,25438.007958616225
10,25417.52589958568
11,27962.871684680573
12,53877.77663115079
13,55679.33661741221
14,53701.30284311648
15,56548.81075650924
16,56880.05551035223
17,54461.06152514893
18,53167.82612650256
19,50820.502226443634
20,48218.814484212395
21,44386.36454217434
22,43863.84318900979
23,40685.578209763014
24,14032.776267701205
25,12736.92681914133
26,12751.670064283042
27,11475.430629990937
28,11475.243268165945
29,11474.996977651275
30,12745.741797226603
31,15282.84938935213
32,21638.69370484186
33,20361.497637387085
34,25422.463694679493
35,25398.119959007206
36,52704.211173813244
37,53227.934018625325
38,57527.53429405323
39,55284.297111678294
40,55618.20499980556
41,55682.290844531635
42,49347.34283756018
43,45737.853956779814
44,44407.560259289276
45,43106.748075587144
46,41333.5350804361
47,40703.455450937145
48,11499.286566605228
49,11469.89869438756
50,11490.428784704776
51,11486.110265769006
52,11480.130992428447
53,11505.846945630385
54,12777.514040031865
55,15315.773977127024
56,16582.70835393124
57,20384.731996746163
58,24208.884951855533
59,26757.668230373445
60,51587.325894441485
61,52185.356198318565
62,52690.79384116615
63,52993.00877124515
64,53266.9531852877
65,50776.732856227696
66,48238.867689609135
67,45914.49005078488
68,44689.42459180659
69,44659.11176108377
70,41628.902249888335
71,39711.27291749075
72,12823.127338491544
73,11512.972872511626
74,11483.178096450181
75,11475.346793216248
76,11474.056380539352
77,14025.101018799613
78,12755.602816354447
79,14034.196057238865
80,16575.719391174916
81,19101.400448358938
82,22915.484105177144
83,25479.074699793084
84,51522.909388109336
85,52103.78317985573
86,53903.80131942669
87,52924.076751995024
88,53206.075691089325
89,54547.70473362453
90,53334.00977382223
91,49757.55631878547
92,46040.966663566884
93,44677.77601611095
94,41625.03825422443
95,43509.41259337576
96,11546.836741676801
97,11502.355494059391
98,11865.885772136078
99,11845.031707053506
100,11845.280090453642
101,11873.880610141905
102,13140.59513350333
103,14407.108177669365
104,20760.363381867628
105,20753.833081910092
106,22021.695789112175
107,24530.844019396824
108,49860.88595676562
109,53062.33061493948
110,57656.6958643131
111,55603.51929362185
112,54699.29189033395
113,57315.16731035245
114,52266.273295667976
115,48600.45574528503
116,47468.43996982246
117,43403.39601236076
118,42822.39858031816
119,40636.15031779517
120,12853.904187694583
121,11530.48083129738
122,11486.733508080446
123,11475.750894638837
124,11476.95672157211
125,11501.413370033077
126,12772.858126869676
127,15309.897383534459
128,17851.196075957116
129,22938.150143253857
130,22932.844221420197
131,26752.613728359494
132,53222.15992105496
133,54756.28302941488
134,58509.46643141772
135,56748.216537989705
136,57377.93871544823
137,57828.43845411666
138,53973.400063490524
139,50186.49712311815
140,47622.700893901085
141,47395.13705454351
142,44531.1760909172
143,40745.77235081948
144,12909.715490001014
145,11565.122723578837
146,11480.793522263693
147,11458.79116069046
148,11460.179416048706
149,11464.824395336262
150,12734.299888927922
151,16546.303963613584
152,17814.76544651927
153,19147.765207319302
154,22951.06510373381
155,26798.248324443062
156,53221.628153975296
157,57226.42933780034
158,55835.41624100465
159,59032.63823259867
160,58334.03629250425
161,58819.32391269003
162,53649.15349680641
163,51149.855919676476
164,49653.39636051384
165,48229.65216498606
166,43990.40358144028
167,42754.98649707349
