Step,AgentID,AgentType,consumption
1,1,EnterpriseBuildingAgent,0.0
1,2,OfficeBuildingAgent,0.0
1,3,OfficeBuildingAgent,0.0
1,4,OfficeBuildingAgent,0.0
1,5,OfficeBuildingAgent,0.0
1,6,HospitalBuildingAgent,0.0
1,7,HospitalBuildingAgent,0.0
1,8,MallAgent,0.0
1,9,MallAgent,0.0
1,10,ModernResidentialBuildingAgent,0.0
1,11,ModernResidentialBuildingAgent,0.0
1,12,ModernResidentialBuildingAgent,0.0
1,13,ModernResidentialBuildingAgent,0.0
1,14,ModernResidentialBuildingAgent,0.0
1,15,ModernResidentialBuildingAgent,0.0
1,16,ModernResidentialBuildingAgent,0.0
1,17,ModernResidentialBuildingAgent,0.0
1,18,ModernResidentialBuildingAgent,0.0
1,19,ModernResidentialBuildingAgent,0.0
1,20,ModernResidentialBuildingAgent,0.0
1,21,ModernResidentialBuildingAgent,0.0
1,22,ModernResidentialBuildingAgent,0.0
1,23,ModernResidentialBuildingAgent,0.0
1,24,ModernResidentialBuildingAgent,0.0
1,25,ModernResidentialBuildingAgent,0.0
1,26,ModernResidentialBuildingAgent,0.0
1,27,ModernResidentialBuildingAgent,0.0
1,28,ModernResidentialBuildingAgent,0.0
1,29,ModernResidentialBuildingAgent,0.0
1,30,ResidentialBuildingAgent,0.0
1,31,ResidentialBuildingAgent,0.0
1,32,ResidentialBuildingAgent,0.0
1,33,ResidentialBuildingAgent,0.0
1,34,ResidentialBuildingAgent,0.0
1,35,ResidentialBuildingAgent,0.0
1,36,ResidentialBuildingAgent,0.0
1,37,ResidentialBuildingAgent,0.0
1,38,ResidentialBuildingAgent,0.0
1,39,ResidentialBuildingAgent,0.0
1,40,ResidentialBuildingAgent,0.0
1,41,ResidentialBuildingAgent,0.0
2,1,EnterpriseBuildingAgent,1641.6171349060091
2,2,OfficeBuildingAgent,675.0
2,3,OfficeBuildingAgent,2700.0
2,4,OfficeBuildingAgent,6750.0
2,5,OfficeBuildingAgent,6750.0
2,6,HospitalBuildingAgent,21464.8401826484
2,7,HospitalBuildingAgent,21464.8401826484
2,8,MallAgent,264.00813798520034
2,9,MallAgent,264.00813798520034
2,10,ModernResidentialBuildingAgent,1650.0
2,11,ModernResidentialBuildingAgent,1650.0
2,12,ModernResidentialBuildingAgent,1650.0
2,13,ModernResidentialBuildingAgent,1650.0
2,14,ModernResidentialBuildingAgent,1650.0
2,15,ModernResidentialBuildingAgent,1650.0
2,16,ModernResidentialBuildingAgent,1650.0
2,17,ModernResidentialBuildingAgent,1650.0
2,18,ModernResidentialBuildingAgent,1650.0
2,19,ModernResidentialBuildingAgent,1650.0
2,20,ModernResidentialBuildingAgent,1650.0
2,21,ModernResidentialBuildingAgent,1650.0
2,22,ModernResidentialBuildingAgent,1650.0
2,23,ModernResidentialBuildingAgent,1650.0
2,24,ModernResidentialBuildingAgent,1650.0
2,25,ModernResidentialBuildingAgent,1650.0
2,26,ModernResidentialBuildingAgent,1650.0
2,27,ModernResidentialBuildingAgent,1650.0
2,28,ModernResidentialBuildingAgent,1650.0
2,29,ModernResidentialBuildingAgent,1650.0
2,30,ResidentialBuildingAgent,3790.0
2,31,ResidentialBuildingAgent,3790.0
2,32,ResidentialBuildingAgent,3790.0
2,33,ResidentialBuildingAgent,3790.0
2,34,ResidentialBuildingAgent,3790.0
2,35,ResidentialBuildingAgent,3790.0
2,36,ResidentialBuildingAgent,3790.0
2,37,ResidentialBuildingAgent,3790.0
2,38,ResidentialBuildingAgent,3790.0
2,39,ResidentialBuildingAgent,3790.0
2,40,ResidentialBuildingAgent,3790.0
2,41,ResidentialBuildingAgent,3790.0
3,1,EnterpriseBuildingAgent,1962.0439341769181
3,2,OfficeBuildingAgent,675.0
3,3,OfficeBuildingAgent,2700.0
3,4,OfficeBuildingAgent,6750.0
3,5,OfficeBuildingAgent,6750.0
3,6,HospitalBuildingAgent,21464.8401826484
3,7,HospitalBuildingAgent,21464.8401826484
3,8,MallAgent,244.08208461334155
3,9,MallAgent,244.08208461334155
3,10,ModernResidentialBuildingAgent,1650.0
3,11,ModernResidentialBuildingAgent,1650.0
3,12,ModernResidentialBuildingAgent,1650.0
3,13,ModernResidentialBuildingAgent,1650.0
3,14,ModernResidentialBuildingAgent,1650.0
3,15,ModernResidentialBuildingAgent,1650.0
3,16,ModernResidentialBuildingAgent,1650.0
3,17,ModernResidentialBuildingAgent,1650.0
3,18,ModernResidentialBuildingAgent,1650.0
3,19,ModernResidentialBuildingAgent,1650.0
3,20,ModernResidentialBuildingAgent,1650.0
3,21,ModernResidentialBuildingAgent,1650.0
3,22,ModernResidentialBuildingAgent,1650.0
3,23,ModernResidentialBuildingAgent,1650.0
3,24,ModernResidentialBuildingAgent,1650.0
3,25,ModernResidentialBuildingAgent,1650.0
3,26,ModernResidentialBuildingAgent,1650.0
3,27,ModernResidentialBuildingAgent,1650.0
3,28,ModernResidentialBuildingAgent,1650.0
3,29,ModernResidentialBuildingAgent,1650.0
3,30,ResidentialBuildingAgent,3790.0
