Step,datetime,office_population,hospitalized,patients_total
0,2021-01-01 00:00:00,0,0,0
1,2021-01-01 01:00:00,0,0,0
2,2021-01-01 02:00:00,0,0,0
3,2021-01-01 03:00:00,0,0,0
4,2021-01-01 04:00:00,0,0,0
5,2021-01-01 05:00:00,0,0,0
6,2021-01-01 06:00:00,0,0,0
7,2021-01-01 07:00:00,0,0,0
8,2021-01-01 08:00:00,0,0,0
9,2021-01-01 09:00:00,0,0,0
10,2021-01-01 10:00:00,0,0,0
11,2021-01-01 11:00:00,0,0,0
12,2021-01-01 12:00:00,0,0,0
13,2021-01-01 13:00:00,0,0,0
14,2021-01-01 14:00:00,0,0,0
15,2021-01-01 15:00:00,0,0,0
16,2021-01-01 16:00:00,0,0,0
17,2021-01-01 17:00:00,0,0,0
18,2021-01-01 18:00:00,0,0,0
19,2021-01-01 19:00:00,0,0,0
20,2021-01-01 20:00:00,0,0,0
21,2021-01-01 21:00:00,0,0,0
22,2021-01-01 22:00:00,0,0,0
23,2021-01-01 23:00:00,0,0,0
24,2021-01-02 00:00:00,0,0,0
25,2021-01-02 01:00:00,0,0,0
26,2021-01-02 02:00:00,0,0,0
27,2021-01-02 03:00:00,0,0,0
28,2021-01-02 04:00:00,0,0,0
29,2021-01-02 05:00:00,0,0,0
30,2021-01-02 06:00:00,0,0,0
31,2021-01-02 07:00:00,0,0,0
32,2021-01-02 08:00:00,0,0,0
33,2021-01-02 09:00:00,0,0,0
34,2021-01-02 10:00:00,0,0,0
35,2021-01-02 11:00:00,0,0,0
36,2021-01-02 12:00:00,0,0,0
37,2021-01-02 13:00:00,0,0,0
38,2021-01-02 14:00:00,0,0,0
39,2021-01-02 15:00:00,0,0,0
40,2021-01-02 16:00:00,0,0,0
41,2021-01-02 17:00:00,0,0,0
42,2021-01-02 18:00:00,0,0,0
43,2021-01-02 19:00:00,0,0,0
44,2021-01-02 20:00:00,0,0,0
45,2021-01-02 21:00:00,0,0,0
46,2021-01-02 22:00:00,0,0,0
47,2021-01-02 23:00:00,0,0,0
48,2021-01-03 00:00:00,0,0,0
49,2021-01-03 01:00:00,0,0,0
50,2021-01-03 02:00:00,0,0,0
51,2021-01-03 03:00:00,0,0,0
52,2021-01-03 04:00:00,0,0,0
53,2021-01-03 05:00:00,0,0,0
54,2021-01-03 06:00:00,0,0,0
55,2021-01-03 07:00:00,0,0,0
56,2021-01-03 08:00:00,0,0,0
57,2021-01-03 09:00:00,0,0,0
58,2021-01-03 10:00:00,0,0,0
59,2021-01-03 11:00:00,0,0,0
60,2021-01-03 12:00:00,0,0,0
61,2021-01-03 13:00:00,0,0,0
62,2021-01-03 14:00:00,0,0,0
63,2021-01-03 15:00:00,0,0,0
64,2021-01-03 16:00:00,0,0,0
65,2021-01-03 17:00:00,0,0,0
66,2021-01-03 18:00:00,0,0,0
67,2021-01-03 19:00:00,0,0,0
68,2021-01-03 20:00:00,0,0,0
69,2021-01-03 21:00:00,0,0,0
70,2021-01-03 22:00:00,0,0,0
71,2021-01-03 23:00:00,0,0,0
72,2021-01-04 00:00:00,0,0,0
73,2021-01-04 01:00:00,0,0,0
74,2021-01-04 02:00:00,0,0,0
75,2021-01-04 03:00:00,0,0,0
76,2021-01-04 04:00:00,0,0,0
77,2021-01-04 05:00:00,0,0,0
78,2021-01-04 06:00:00,0,0,0
79,2021-01-04 07:00:00,0,0,0
80,2021-01-04 08:00:00,0,0,0
81,2021-01-04 09:00:00,0,0,0
82,2021-01-04 10:00:00,0,0,0
83,2021-01-04 11:00:00,0,0,0
84,2021-01-04 12:00:00,0,0,0
85,2021-01-04 13:00:00,0,0,0
86,2021-01-04 14:00:00,0,0,0
87,2021-01-04 15:00:00,0,0,0
88,2021-01-04 16:00:00,0,0,0
89,2021-01-04 17:00:00,0,0,0
90,2021-01-04 18:00:00,0,0,0
91,2021-01-04 19:00:00,0,0,0
92,2021-01-04 20:00:00,0,0,0
93,2021-01-04 21:00:00,0,0,0
94,2021-01-04 22:00:00,0,0,0
95,2021-01-04 23:00:00,0,0,0
96,2021-01-05 00:00:00,0,0,0
97,2021-01-05 01:00:00,0,0,0
98,2021-01-05 02:00:00,0,0,0
99,2021-01-05 03:00:00,0,0,0
100,2021-01-05 04:00:00,0,0,0
101,2021-01-05 05:00:00,0,0,0
102,2021-01-05 06:00:00,0,0,0
103,2021-01-05 07:00:00,0,0,0
104,2021-01-05 08:00:00,0,0,0
105,2021-01-05 09:00:00,0,0,0
106,2021-01-05 10:00:00,0,0,0
107,2021-01-05 11:00:00,0,0,0
108,2021-01-05 12:00:00,0,0,0
109,2021-01-05 13:00:00,0,0,0
110,2021-01-05 14:00:00,0,0,0
111,2021-01-05 15:00:00,0,0,0
112,2021-01-05 16:00:00,0,0,0
113,2021-01-05 17:00:00,0,0,0
114,2021-01-05 18:00:00,0,0,0
115,2021-01-05 19:00:00,0,0,0
116,2021-01-05 20:00:00,0,0,0
117,2021-01-05 21:00:00,0,0,0
118,2021-01-05 22:00:00,0,0,0
119,2021-01-05 23:00:00,0,0,0
120,2021-01-06 00:00:00,0,0,0
121,2021-01-06 01:00:00,0,0,0
122,2021-01-06 02:00:00,0,0,0
123,2021-01-06 03:00:00,0,0,0
124,2021-01-06 04:00:00,0,0,0
125,2021-01-06 05:00:00,0,0,0
126,2021-01-06 06:00:00,0,0,0
127,2021-01-06 07:00:00,0,0,0
128,2021-01-06 08:00:00,0,0,0
129,2021-01-06 09:00:00,0,0,0
130,2021-01-06 10:00:00,0,0,0
131,2021-01-06 11:00:00,0,0,0
132,2021-01-06 12:00:00,0,0,0
133,2021-01-06 13:00:00,0,0,0
134,2021-01-06 14:00:00,0,0,0
135,2021-01-06 15:00:00,0,0,0
136,2021-01-06 16:00:00,0,0,0
137,2021-01-06 17:00:00,0,0,0
138,2021-01-06 18:00:00,0,0,0
139,2021-01-06 19:00:00,0,0,0
140,2021-01-06 20:00:00,0,0,0
141,2021-01-06 21:00:00,0,0,0
142,2021-01-06 22:00:00,0,0,0
143,2021-01-06 23:00:00,0,0,0
144,2021-01-07 00:00:00,0,0,0
145,2021-01-07 01:00:00,0,0,0
146,2021-01-07 02:00:00,0,0,0
147,2021-01-07 03:00:00,0,0,0
148,2021-01-07 04:00:00,0,0,0
149,2021-01-07 05:00:00,0,0,0
150,2021-01-07 06:00:00,0,0,0
151,2021-01-07 07:00:00,0,0,0
152,2021-01-07 08:00:00,0,0,0
153,2021-01-07 09:00:00,0,0,0
154,2021-01-07 10:00:00,0,0,0
155,2021-01-07 11:00:00,0,0,0
156,2021-01-07 12:00:00,0,0,0
157,2021-01-07 13:00:00,0,0,0
158,2021-01-07 14:00:00,0,0,0
159,2021-01-07 15:00:00,0,0,0
160,2021-01-07 16:00:00,0,0,0
161,2021-01-07 17:00:00,0,0,0
162,2021-01-07 18:00:00,0,0,0
163,2021-01-07 19:00:00,0,0,0
164,2021-01-07 20:00:00,0,0,0
165,2021-01-07 21:00:00,0,0,0
166,2021-01-07 22:00:00,0,0,0
167,2021-01-07 23:00:00,0,0,0
168,2021-01-08 00:00:00,0,0,0
169,2021-01-08 01:00:00,0,0,0
170,2021-01-08 02:00:00,0,0,0
171,2021-01-08 03:00:00,0,0,0
172,2021-01-08 04:00:00,0,0,0
173,2021-01-08 05:00:00,0,0,0
174,2021-01-08 06:00:00,0,0,0
175,2021-01-08 07:00:00,0,0,0
176,2021-01-08 08:00:00,0,0,0
177,2021-01-08 09:00:00,0,0,0
178,2021-01-08 10:00:00,0,0,0
179,2021-01-08 11:00:00,0,0,0
180,2021-01-08 12:00:00,0,0,0
181,2021-01-08 13:00:00,0,0,0
182,2021-01-08 14:00:00,0,0,0
183,2021-01-08 15:00:00,0,0,0
184,2021-01-08 16:00:00,0,0,0
185,2021-01-08 17:00:00,0,0,0
186,2021-01-08 18:00:00,0,0,0
187,2021-01-08 19:00:00,0,0,0
188,2021-01-08 20:00:00,0,0,0
189,2021-01-08 21:00:00,0,0,0
190,2021-01-08 22:00:00,0,0,0
191,2021-01-08 23:00:00,0,0,0
192,2021-01-09 00:00:00,0,0,0
193,2021-01-09 01:00:00,0,0,0
194,2021-01-09 02:00:00,0,0,0
195,2021-01-09 03:00:00,0,0,0
196,2021-01-09 04:00:00,0,0,0
197,2021-01-09 05:00:00,0,0,0
198,2021-01-09 06:00:00,0,0,0
199,2021-01-09 07:00:00,0,0,0
200,2021-01-09 08:00:00,0,0,0
201,2021-01-09 09:00:00,0,0,0
202,2021-01-09 10:00:00,0,0,0
203,2021-01-09 11:00:00,0,0,0
204,2021-01-09 12:00:00,0,0,0
205,2021-01-09 13:00:00,0,0,0
206,2021-01-09 14:00:00,0,0,0
207,2021-01-09 15:00:00,0,0,0
208,2021-01-09 16:00:00,0,0,0
209,2021-01-09 17:00:00,0,0,0
210,2021-01-09 18:00:00,0,0,0
211,2021-01-09 19:00:00,0,0,0
212,2021-01-09 20:00:00,0,0,0
213,2021-01-09 21:00:00,0,0,0
214,2021-01-09 22:00:00,0,0,0
215,2021-01-09 23:00:00,0,0,0
216,2021-01-10 00:00:00,0,0,0
217,2021-01-10 01:00:00,0,0,0
218,2021-01-10 02:00:00,0,0,0
219,2021-01-10 03:00:00,0,0,0
220,2021-01-10 04:00:00,0,0,0
221,2021-01-10 05:00:00,0,0,0
222,2021-01-10 06:00:00,0,0,0
223,2021-01-10 07:00:00,0,0,0
224,2021-01-10 08:00:00,0,0,0
225,2021-01-10 09:00:00,0,0,0
226,2021-01-10 10:00:00,0,0,0
227,2021-01-10 11:00:00,0,0,0
228,2021-01-10 12:00:00,0,0,0
229,2021-01-10 13:00:00,0,0,0
230,2021-01-10 14:00:00,0,0,0
231,2021-01-10 15:00:00,0,0,0
232,2021-01-10 16:00:00,0,0,0
233,2021-01-10 17:00:00,0,0,0
234,2021-01-10 18:00:00,0,0,0
235,2021-01-10 19:00:00,0,0,0
236,2021-01-10 20:00:00,0,0,0
237,2021-01-10 21:00:00,0,0,0
238,2021-01-10 22:00:00,0,0,0
239,2021-01-10 23:00:00,0,0,0
240,2021-01-11 00:00:00,0,0,0
241,2021-01-11 01:00:00,0,0,0
242,2021-01-11 02:00:00,0,0,0
243,2021-01-11 03:00:00,0,0,0
244,2021-01-11 04:00:00,0,0,0
245,2021-01-11 05:00:00,0,0,0
246,2021-01-11 06:00:00,0,0,0
